Configuration Profile Name,Configuration Profile ID,Configuration Profile Scope,Scope: Computers,Scope: Computer Groups,Scope: Excluded Computers,Scope: Excluded Computer Groups
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=1&o=r"", ""Default Plan - Jamf Protect Configuration"")",1,All Computers,N/A,N/A,N/A,N/A
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=3&o=r"", ""Jamf Connect - Login"")",3,All Computers,N/A,N/A,N/A,Remove Jamf Connect (ID: 3)
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=4&o=r"", ""Jamf Connect - Menu"")",4,All Computers,N/A,N/A,N/A,Remove Jamf Connect (ID: 3)
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=5&o=r"", ""Jamf Connect License"")",5,All Computers,N/A,N/A,N/A,Remove Jamf Connect (ID: 3)
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=8&o=r"", ""Loading... Network Profile"")",8,All Computers,N/A,N/A,N/A,N/A
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=10&o=r"", ""Jamf Connect Login Window (Self Service)"")",10,Custom,N/A,Remove Jamf Connect (ID: 3),N/A,N/A
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=11&o=r"", ""Jamf Connect Menu (Self Service)"")",11,Custom,N/A,"macOS Update Ready (ID: 4), Remove Jamf Connect (ID: 3)",N/A,N/A
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=12&o=r"", ""Jamf Connect License (Self Service)"")",12,Custom,N/A,Remove Jamf Connect (ID: 3),N/A,N/A
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=13&o=r"", ""Disable Displays Prefrence Pane"")",13,All Computers,N/A,N/A,N/A,N/A
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=14&o=r"", ""Jamf Connect - Menu Keychain Test"")",14,All Computers,N/A,N/A,N/A,N/A
"=HYPERLINK(""https://mooncheese.jamfcloud.com/OSXConfigurationProfiles.html?id=15&o=r"", ""Keychain Test"")",15,All Computers,N/A,N/A,ladmin’s MacBook Pro (ID: 1),Bound Systems (ID: 5)
